iter	Passed	Remaining
967	89782	2968
968	89877	2875
969	89975	2782
970	90075	2690
971	90167	2597
972	90266	2504
973	90367	2412
974	90461	2319
975	90555	2226
976	90652	2134
977	90743	2041
978	90840	1948
979	90932	1855
980	91018	1762
981	91111	1670
982	91213	1577
983	91321	1484
984	91432	1392
985	91545	1299
986	91668	1207
987	91819	1115
988	91950	1022
989	92058	929
990	92178	837
991	92290	744
992	92406	651
993	92532	558
994	92667	465
995	92779	372
996	92907	279
997	93054	186
998	93202	93
999	93325	0
